timestamp_utc,airnow_pm25_obs_ug_m3,geoscf_pm25_fcst_tplus1_ug_m3,geoscf_pm25_fcst_tplus2_ug_m3,geoscf_pm25_fcst_tplus3_ug_m3,hour_utc,day_of_year,naqfc_pm25_fcst_tplus1_ug_m3,naqfc_pm25_fcst_tplus2_ug_m3,naqfc_pm25_fcst_tplus3_ug_m3,cams_pm25_fcst_tplus1_ug_m3,cams_pm25_fcst_tplus2_ug_m3,cams_pm25_fcst_tplus3_ug_m3
2024-01-01 00:00:00+00:00,4.814285714285715,13.128209829330444,14.225994110107422,16.36626390616099,0,1,6.090000152587891,10.010000228881836,11.640000343322754,15.83391906478937,22.218186401801177,25.165238781710286
2024-01-01 01:00:00+00:00,8.371428571428572,14.225994110107422,16.36626390616099,19.26926676432292,1,1,10.010000228881836,11.640000343322754,9.350000381469728,22.218186401801177,25.165238781710286,26.009953302263966
2024-01-01 02:00:00+00:00,15.42857142857143,16.36626390616099,19.26926676432292,22.58468093474706,2,1,11.640000343322754,9.350000381469728,6.800000190734863,25.165238781710286,26.009953302263966,24.351399119382222
2024-01-01 03:00:00+00:00,23.742857142857144,19.26926676432292,22.58468093474706,25.98057911793391,3,1,9.350000381469728,6.800000190734863,7.039999961853027,26.009953302263966,24.351399119382222,25.89603020908271
2024-01-01 04:00:00+00:00,33.542857142857144,22.58468093474706,25.98057911793391,28.77768484751384,4,1,6.800000190734863,7.039999961853027,10.329999923706056,24.351399119382222,25.89603020908271,25.84999947430333
2024-01-01 05:00:00+00:00,36.72857142857142,25.98057911793391,28.77768484751384,30.12333075205485,5,1,7.039999961853027,10.329999923706056,12.81999969482422,25.89603020908271,25.84999947430333,23.218813538505856
2024-01-01 06:00:00+00:00,52.51428571428572,28.77768484751384,30.12333075205485,31.112079461415608,6,1,8.449999809265137,11.079999923706056,12.359999656677246,25.84999947430333,23.218813538505856,19.618498825479946
2024-01-01 07:00:00+00:00,60.48571428571428,30.12333075205485,31.112079461415608,31.15733957290649,7,1,11.079999923706056,12.359999656677246,13.600000381469728,23.218813538505856,19.618498825479946,16.49511638390777
2024-01-01 08:00:00+00:00,64.65714285714286,31.112079461415608,31.15733957290649,31.802581469217937,8,1,12.359999656677246,13.600000381469728,14.25,19.618498825479946,16.49511638390777,13.842772261796199
2024-01-01 09:00:00+00:00,66.3,31.15733957290649,31.802581469217937,33.0764745871226,9,1,13.600000381469728,14.25,14.300000190734863,16.49511638390777,13.842772261796199,11.826040591245146
2024-01-01 10:00:00+00:00,56.68571428571428,31.802581469217937,33.0764745871226,35.05261484781901,10,1,14.25,14.300000190734863,14.5,13.842772261796199,11.826040591245146,10.60368237659759
2024-01-01 11:00:00+00:00,49.285714285714285,33.0764745871226,35.05261484781901,35.70601598421732,11,1,14.300000190734863,14.5,12.31999969482422,11.826040591245146,10.60368237659759,10.216417933861521
2024-01-01 12:00:00+00:00,40.114285714285714,54.81526931126913,54.79041560490926,55.74907970428467,12,1,14.390000343322754,11.949999809265137,10.75,9.074638818162839,8.56508197699668,10.231721248032954
2024-01-01 13:00:00+00:00,38.7,54.79041560490926,55.74907970428467,52.984245459238686,13,1,11.949999809265137,10.75,11.5,8.56508197699668,10.231721248032954,13.170452284327894
2024-01-01 14:00:00+00:00,29.81428571428572,55.74907970428467,52.984245459238686,28.905105590820312,14,1,10.75,11.5,13.510000228881836,10.231721248032954,13.170452284327894,15.276926390583867
2024-01-01 15:00:00+00:00,26.31428571428572,52.984245459238686,28.905105590820312,17.643558939297993,15,1,11.5,13.510000228881836,12.710000038146973,13.170452284327894,15.276926390583867,14.70448207641084
2024-01-01 16:00:00+00:00,18.057142857142857,28.905105590820312,17.643558939297993,12.557638804117838,16,1,13.510000228881836,12.710000038146973,11.010000228881836,15.276926390583867,14.70448207641084,13.320250680237677
2024-01-01 17:00:00+00:00,13.242857142857144,17.643558939297993,12.557638804117838,10.754533370335896,17,1,12.710000038146973,11.010000228881836,10.1899995803833,14.70448207641084,13.320250680237677,13.337861481943492
2024-01-01 18:00:00+00:00,7.4,12.557638804117838,10.754533370335896,10.258866628011068,18,1,11.010000228881836,10.1899995803833,9.710000038146973,13.320250680237677,13.337861481943492,12.636844459734675
2024-01-01 19:00:00+00:00,6.2,10.754533370335896,10.258866628011068,10.622157454490662,19,1,10.1899995803833,9.710000038146973,9.890000343322754,13.337861481943492,12.636844459734675,13.282579480744516
2024-01-01 20:00:00+00:00,4.528571428571429,10.258866628011068,10.622157454490662,12.561447779337565,20,1,9.710000038146973,9.890000343322754,11.0,12.636844459734675,13.282579480744516,14.875332077224357
2024-01-01 21:00:00+00:00,4.0,10.622157454490662,12.561447779337565,19.720863819122314,21,1,9.890000343322754,11.0,12.010000228881836,13.282579480744516,14.875332077224357,17.199406343593182
2024-01-01 22:00:00+00:00,4.471428571428572,12.561447779337565,19.720863819122314,28.224412123362224,22,1,11.0,12.010000228881836,12.729999542236328,14.875332077224357,17.199406343593182,22.968174917537
2024-01-01 23:00:00+00:00,4.114285714285715,19.720863819122314,28.224412123362224,36.0641679763794,23,1,12.010000228881836,12.729999542236328,13.079999923706056,17.199406343593182,22.968174917537,27.1496247705727
2024-01-02 00:00:00+00:00,3.6857142857142864,28.224412123362224,36.0641679763794,42.95727793375651,0,2,12.729999542236328,13.079999923706056,11.119999885559082,14.288501049009028,19.670062911814057,22.328970672447213
2024-01-02 01:00:00+00:00,7.399999999999999,36.0641679763794,42.95727793375651,49.311250845591225,1,2,13.079999923706056,11.119999885559082,10.65999984741211,19.670062911814057,22.328970672447213,21.15911001965287
2024-01-02 02:00:00+00:00,8.914285714285715,42.95727793375651,49.311250845591225,56.47648620605469,2,2,11.119999885559082,10.65999984741211,12.40999984741211,22.328970672447213,21.15911001965287,20.652899834772143
2024-01-02 03:00:00+00:00,10.728571428571428,49.311250845591225,56.47648620605469,63.85841910044352,3,2,10.65999984741211,12.40999984741211,13.619999885559082,21.15911001965287,20.652899834772143,20.77330663041721
2024-01-02 04:00:00+00:00,15.971428571428572,56.47648620605469,63.85841910044352,69.83321126302083,4,2,12.40999984741211,13.619999885559082,14.949999809265137,20.652899834772143,20.77330663041721,19.241106485878845
2024-01-02 05:00:00+00:00,16.45714285714286,63.85841910044352,69.83321126302083,73.59595425923665,5,2,13.619999885559082,14.949999809265137,15.720000267028809,20.77330663041721,19.241106485878845,16.19763168037025
2024-01-02 06:00:00+00:00,17.92857142857143,69.83321126302083,73.59595425923665,74.92240778605144,6,2,14.350000381469728,13.609999656677246,12.529999732971191,19.241106485878845,16.19763168037025,12.721397268933288
2024-01-02 07:00:00+00:00,16.785714285714285,73.59595425923665,74.92240778605144,71.2710268497467,7,2,13.609999656677246,12.529999732971191,11.1899995803833,16.19763168037025,12.721397268933288,9.609486539829959
2024-01-02 08:00:00+00:00,15.671428571428574,74.92240778605144,71.2710268497467,65.80748709042867,8,2,12.529999732971191,11.1899995803833,10.0600004196167,12.721397268933288,9.609486539829959,6.8567795885599025
2024-01-02 09:00:00+00:00,16.400000000000002,71.2710268497467,65.80748709042867,60.63511991500855,9,2,11.1899995803833,10.0600004196167,9.56999969482422,9.609486539829959,6.8567795885599025,4.667295883109546
2024-01-02 10:00:00+00:00,13.214285714285714,65.80748709042867,60.63511991500855,55.9581405321757,10,2,10.0600004196167,9.56999969482422,9.970000267028809,6.8567795885599025,4.667295883109546,3.4565554862808767
2024-01-02 11:00:00+00:00,14.171428571428573,60.63511991500855,55.9581405321757,52.02302392323812,11,2,9.56999969482422,9.970000267028809,11.289999961853027,4.667295883109546,3.4565554862808767,3.4400060577866043
2024-01-02 12:00:00+00:00,14.614285714285714,68.36519821484883,63.28128377596537,61.48229972521464,12,2,10.220000267028809,11.9399995803833,13.65999984741211,3.5471030557232552,3.5036193946069716,6.522446138745863
2024-01-02 13:00:00+00:00,12.771428571428572,63.28128377596537,61.48229972521464,67.94707711537679,13,2,11.9399995803833,13.65999984741211,15.15999984741211,3.5036193946069716,6.522446138745863,11.776336350521888
2024-01-02 14:00:00+00:00,12.742857142857144,61.48229972521464,67.94707711537679,66.0581070582072,14,2,13.65999984741211,15.15999984741211,20.670000076293945,6.522446138745863,11.776336350521888,12.618661671126574
2024-01-02 15:00:00+00:00,12.471428571428572,67.94707711537679,66.0581070582072,51.34303855895996,15,2,15.15999984741211,20.670000076293945,26.63999938964844,11.776336350521888,12.618661671126574,8.440931509312577
2024-01-02 16:00:00+00:00,13.714285714285714,66.0581070582072,51.34303855895996,44.67714436848959,16,2,20.670000076293945,26.63999938964844,27.950000762939453,12.618661671126574,8.440931509312577,10.346928647209097
2024-01-02 17:00:00+00:00,11.2,51.34303855895996,44.67714436848959,44.2653226852417,17,2,26.63999938964844,27.950000762939453,24.06999969482422,8.440931509312577,10.346928647209097,11.875693317620062
2024-01-02 18:00:00+00:00,7.842857142857143,44.67714436848959,44.2653226852417,47.19795942306519,18,2,27.950000762939453,24.06999969482422,19.59000015258789,10.346928647209097,11.875693317620062,13.618818073268812
2024-01-02 19:00:00+00:00,7.557142857142857,44.2653226852417,47.19795942306519,52.60503625869751,19,2,24.06999969482422,19.59000015258789,18.049999237060547,11.875693317620062,13.618818073268812,15.243054818370183
2024-01-02 20:00:00+00:00,6.814285714285714,47.19795942306519,52.60503625869751,62.00014273325602,20,2,19.59000015258789,18.049999237060547,18.13999938964844,13.618818073268812,15.243054818370183,16.581740425181124
2024-01-02 21:00:00+00:00,6.214285714285714,52.60503625869751,62.00014273325602,76.14586544036865,21,2,18.049999237060547,18.13999938964844,18.489999771118164,15.243054818370183,16.581740425181124,18.264451284721872
2024-01-02 22:00:00+00:00,6.457142857142857,62.00014273325602,76.14586544036865,89.11478646596272,22,2,18.13999938964844,18.489999771118164,21.18000030517578,16.581740425181124,18.264451284721872,28.640480209674024
2024-01-02 23:00:00+00:00,7.857142857142857,76.14586544036865,89.11478646596272,101.13240480422974,23,2,18.489999771118164,21.18000030517578,23.040000915527344,18.264451284721872,28.640480209674024,34.93250844144313
2024-01-03 00:00:00+00:00,8.028571428571428,89.11478646596272,101.13240480422974,114.42775686581928,0,3,21.18000030517578,23.040000915527344,20.350000381469727,22.1859473015229,29.716867189222285,33.966085055681106
2024-01-03 01:00:00+00:00,9.428571428571429,101.13240480422974,114.42775686581928,129.25889082749686,1,3,23.040000915527344,20.350000381469727,14.449999809265137,29.716867189222285,33.966085055681106,36.38671941530447
2024-01-03 02:00:00+00:00,11.414285714285713,114.42775686581928,129.25889082749686,143.63295125961304,2,3,20.350000381469727,14.449999809265137,12.770000457763672,33.966085055681106,36.38671941530447,37.773997263457204
2024-01-03 03:00:00+00:00,15.814285714285717,129.25889082749686,143.63295125961304,146.9897664785385,3,3,14.449999809265137,12.770000457763672,12.770000457763672,36.38671941530447,37.773997263457204,37.3113628882038
2024-01-03 04:00:00+00:00,17.75714285714286,143.63295125961304,146.9897664785385,149.8334153095881,4,3,12.770000457763672,12.770000457763672,12.68000030517578,37.773997263457204,37.3113628882038,34.51637198281787
2024-01-03 05:00:00+00:00,19.82857142857143,146.9897664785385,149.8334153095881,143.07783706982931,5,3,12.770000457763672,12.68000030517578,12.649999618530272,37.3113628882038,34.51637198281787,31.769296526817925
2024-01-03 06:00:00+00:00,18.4,149.8334153095881,143.07783706982931,130.05267306168875,6,3,17.3700008392334,16.760000228881836,16.09000015258789,34.51637198281787,31.769296526817925,28.22468303520509
2024-01-03 07:00:00+00:00,18.8,143.07783706982931,130.05267306168875,108.43829443057378,7,3,16.760000228881836,16.09000015258789,14.989999771118164,31.769296526817925,28.22468303520509,24.336026527294052
2024-01-03 08:00:00+00:00,20.75714285714286,130.05267306168875,108.43829443057378,86.29109547535579,8,3,16.09000015258789,14.989999771118164,16.729999542236328,28.22468303520509,24.336026527294052,20.00776611055244
2024-01-03 09:00:00+00:00,18.885714285714283,108.43829443057378,86.29109547535579,66.87886043389638,9,3,14.989999771118164,16.729999542236328,17.93000030517578,24.336026527294052,20.00776611055244,16.23470957667905
2024-01-03 10:00:00+00:00,18.228571428571428,86.29109547535579,66.87886043389638,56.89296400547028,10,3,16.729999542236328,17.93000030517578,12.8100004196167,20.00776611055244,16.23470957667905,12.460486864540599
2024-01-03 11:00:00+00:00,14.414285714285713,66.87886043389638,56.89296400547028,52.66252565383911,11,3,17.93000030517578,12.8100004196167,4.800000190734863,16.23470957667905,12.460486864540599,10.448772513882432
2024-01-03 12:00:00+00:00,13.457142857142856,10.977443118890127,11.000187357266745,11.263312260309856,12,3,11.649999618530272,6.119999885559082,3.1700000762939453,12.6633104002849,9.54082590709504,8.100139226030478
