timestamp_utc,airnow_pm25_obs_ug_m3,geoscf_pm25_fcst_tplus1_ug_m3,geoscf_pm25_fcst_tplus2_ug_m3,geoscf_pm25_fcst_tplus3_ug_m3,hour_utc,day_of_year
2024-01-01 00:00:00+00:00,4.814285714285715,13.128209829330444,14.225994110107422,16.36626390616099,0,1
2024-01-01 01:00:00+00:00,8.371428571428572,14.225994110107422,16.36626390616099,19.26926676432292,1,1
2024-01-01 02:00:00+00:00,15.42857142857143,16.36626390616099,19.26926676432292,22.58468093474706,2,1
2024-01-01 03:00:00+00:00,23.742857142857144,19.26926676432292,22.58468093474706,25.98057911793391,3,1
2024-01-01 04:00:00+00:00,33.542857142857144,22.58468093474706,25.98057911793391,28.77768484751384,4,1
2024-01-01 05:00:00+00:00,36.72857142857142,25.98057911793391,28.77768484751384,30.12333075205485,5,1
2024-01-01 06:00:00+00:00,52.51428571428572,28.77768484751384,30.12333075205485,31.112079461415608,6,1
2024-01-01 07:00:00+00:00,60.48571428571428,30.12333075205485,31.112079461415608,31.15733957290649,7,1
2024-01-01 08:00:00+00:00,64.65714285714286,31.112079461415608,31.15733957290649,31.802581469217937,8,1
2024-01-01 09:00:00+00:00,66.3,31.15733957290649,31.802581469217937,33.0764745871226,9,1
2024-01-01 10:00:00+00:00,56.685714285714276,31.802581469217937,33.0764745871226,35.05261484781901,10,1
2024-01-01 11:00:00+00:00,49.285714285714285,33.0764745871226,35.05261484781901,35.70601598421732,11,1
2024-01-01 12:00:00+00:00,40.114285714285714,54.81526931126913,54.79041560490926,55.74907970428467,12,1
2024-01-01 13:00:00+00:00,38.699999999999996,54.79041560490926,55.74907970428467,52.984245459238686,13,1
2024-01-01 14:00:00+00:00,29.814285714285717,55.74907970428467,52.984245459238686,28.905105590820312,14,1
2024-01-01 15:00:00+00:00,26.314285714285717,52.984245459238686,28.905105590820312,17.643558939297993,15,1
2024-01-01 16:00:00+00:00,18.057142857142857,28.905105590820312,17.643558939297993,12.557638804117838,16,1
2024-01-01 17:00:00+00:00,13.242857142857144,17.643558939297993,12.557638804117838,10.754533370335896,17,1
2024-01-01 18:00:00+00:00,7.4,12.557638804117838,10.754533370335896,10.258866628011068,18,1
2024-01-01 19:00:00+00:00,6.2,10.754533370335896,10.258866628011068,10.622157454490662,19,1
2024-01-01 20:00:00+00:00,4.528571428571429,10.258866628011068,10.622157454490662,12.561447779337565,20,1
2024-01-01 21:00:00+00:00,4.0,10.622157454490662,12.561447779337565,19.720863819122314,21,1
2024-01-01 22:00:00+00:00,4.471428571428572,12.561447779337565,19.720863819122314,28.224412123362224,22,1
2024-01-01 23:00:00+00:00,4.114285714285715,19.720863819122314,28.224412123362224,36.0641679763794,23,1
2024-01-02 00:00:00+00:00,3.6857142857142864,28.224412123362224,36.0641679763794,42.95727793375651,0,2
2024-01-02 01:00:00+00:00,7.3999999999999995,36.0641679763794,42.95727793375651,49.311250845591225,1,2
2024-01-02 02:00:00+00:00,8.914285714285715,42.95727793375651,49.311250845591225,56.47648620605469,2,2
2024-01-02 03:00:00+00:00,10.728571428571428,49.311250845591225,56.47648620605469,63.85841910044352,3,2
2024-01-02 04:00:00+00:00,15.971428571428573,56.47648620605469,63.85841910044352,69.83321126302083,4,2
2024-01-02 05:00:00+00:00,16.45714285714286,63.85841910044352,69.83321126302083,73.59595425923665,5,2
2024-01-02 06:00:00+00:00,17.92857142857143,69.83321126302083,73.59595425923665,74.92240778605144,6,2
2024-01-02 07:00:00+00:00,16.785714285714285,73.59595425923665,74.92240778605144,71.2710268497467,7,2
2024-01-02 08:00:00+00:00,15.671428571428574,74.92240778605144,71.2710268497467,65.80748709042867,8,2
2024-01-02 09:00:00+00:00,16.400000000000002,71.2710268497467,65.80748709042867,60.63511991500855,9,2
