timestamp_utc,airnow_pm25_obs_ug_m3,geoscf_pm25_fcst_tplus1_ug_m3,geoscf_pm25_fcst_tplus2_ug_m3,geoscf_pm25_fcst_tplus3_ug_m3,hour_utc,day_of_year,naqfc_pm25_fcst_tplus1_ug_m3,naqfc_pm25_fcst_tplus2_ug_m3,naqfc_pm25_fcst_tplus3_ug_m3
2024-12-23 19:00:00+00:00,28.01428571428572,33.93322765827179,26.991817792256672,25.49888626734416,19,358,39.18000030517578,37.150001525878906,38.65999984741211
2024-12-23 20:00:00+00:00,27.52857142857143,26.991817792256672,25.49888626734416,26.352210521698,20,358,37.150001525878906,38.65999984741211,42.636383056640625
2024-12-23 21:00:00+00:00,30.65714285714285,25.49888626734416,26.352210521698,33.227052211761475,21,358,38.65999984741211,42.636383056640625,46.9095573425293
2024-12-23 22:00:00+00:00,27.128571428571437,26.352210521698,33.227052211761475,39.834833900133766,22,358,42.636383056640625,46.9095573425293,51.560001373291016
2024-12-23 23:00:00+00:00,30.67142857142857,33.227052211761475,39.834833900133766,47.74336957931519,23,358,46.9095573425293,51.560001373291016,55.647010803222656
2024-12-24 00:00:00+00:00,34.542857142857144,39.834833900133766,47.74336957931519,58.92335247993469,0,359,51.560001373291016,55.647010803222656,56.79999923706055
2024-12-24 01:00:00+00:00,36.5,47.74336957931519,58.92335247993469,73.00087928771973,1,359,55.647010803222656,56.79999923706055,57.56999969482422
2024-12-24 02:00:00+00:00,39.92857142857143,58.92335247993469,73.00087928771973,87.47907900810242,2,359,56.79999923706055,57.56999969482422,57.77000045776367
2024-12-24 03:00:00+00:00,44.4,73.00087928771973,87.47907900810242,101.0223337014516,3,359,57.56999969482422,57.77000045776367,58.28013229370117
2024-12-24 04:00:00+00:00,45.10000000000001,87.47907900810242,101.0223337014516,112.6212921142578,4,359,57.77000045776367,58.28013229370117,58.63999938964844
2024-12-24 05:00:00+00:00,47.057142857142864,101.0223337014516,112.6212921142578,120.32288773854572,5,359,58.28013229370117,58.63999938964844,58.74000930786133
2024-12-24 06:00:00+00:00,44.142857142857146,112.6212921142578,120.32288773854572,124.14741388956706,6,359,63.029998779296875,62.689998626708984,61.959999084472656
2024-12-24 07:00:00+00:00,42.25714285714286,120.32288773854572,124.14741388956706,126.61851501464844,7,359,62.689998626708984,61.959999084472656,62.06999969482422
2024-12-24 08:00:00+00:00,39.35714285714285,124.14741388956706,126.61851501464844,129.17736911773682,8,359,61.959999084472656,62.06999969482422,62.81999969482422
2024-12-24 09:00:00+00:00,36.72857142857144,126.61851501464844,129.17736911773682,134.34891748428345,9,359,62.06999969482422,62.81999969482422,65.16000366210938
2024-12-24 10:00:00+00:00,32.58571428571428,129.17736911773682,134.34891748428345,140.68433618545532,10,359,62.81999969482422,65.16000366210938,66.83999633789062
2024-12-24 11:00:00+00:00,29.08571428571429,134.34891748428345,140.68433618545532,145.10236612955728,11,359,65.16000366210938,66.83999633789062,64.9000015258789
2024-12-24 12:00:00+00:00,32.92857142857143,128.9846492211024,134.79660773277283,145.09604581197104,12,359,67.02999877929688,64.97000122070312,67.11000061035156
2024-12-24 13:00:00+00:00,35.628571428571426,134.79660773277283,145.09604581197104,163.0613122781118,13,359,64.97000122070312,67.11000061035156,73.2300033569336
2024-12-24 14:00:00+00:00,33.385714285714286,145.09604581197104,163.0613122781118,146.90528237819672,14,359,67.11000061035156,73.2300033569336,76.26000213623047
2024-12-24 15:00:00+00:00,31.75714285714286,163.0613122781118,146.90528237819672,101.64136711756387,15,359,73.2300033569336,76.26000213623047,74.69000244140625
2024-12-24 16:00:00+00:00,32.028571428571425,146.90528237819672,101.64136711756387,80.1984345515569,16,359,76.26000213623047,74.69000244140625,61.849998474121094
2024-12-24 17:00:00+00:00,39.72857142857144,101.64136711756387,80.1984345515569,59.15612582365672,17,359,74.69000244140625,61.849998474121094,38.75
2024-12-24 18:00:00+00:00,35.18571428571429,80.1984345515569,59.15612582365672,39.81137156486511,18,359,61.849998474121094,38.75,24.110000610351562
2024-12-24 19:00:00+00:00,33.91428571428571,59.15612582365672,39.81137156486511,28.123210906982425,19,359,38.75,24.110000610351562,17.579999923706055
2024-12-24 20:00:00+00:00,30.88571428571429,39.81137156486511,28.123210906982425,20.521510998408,20,359,24.110000610351562,17.579999923706055,11.680000305175781
2024-12-24 21:00:00+00:00,22.31428571428572,28.123210906982425,20.521510998408,17.74636967976888,21,359,17.579999923706055,11.680000305175781,7.900000095367432
2024-12-24 22:00:00+00:00,16.32857142857143,20.521510998408,17.74636967976888,17.17108905315399,22,359,11.680000305175781,7.900000095367432,4.730018138885498
2024-12-24 23:00:00+00:00,13.957142857142856,17.74636967976888,17.17108905315399,18.51294966538747,23,359,7.900000095367432,4.730018138885498,5.409999847412109
2024-12-25 00:00:00+00:00,10.314285714285717,17.17108905315399,18.51294966538747,21.38537844022115,0,360,4.730018138885498,5.409999847412109,8.010000228881836
2024-12-25 01:00:00+00:00,9.571428571428571,18.51294966538747,21.38537844022115,24.038689931233723,1,360,5.409999847412109,8.010000228881836,9.84000015258789
2024-12-25 02:00:00+00:00,16.414285714285715,21.38537844022115,24.038689931233723,26.805376688639324,2,360,8.010000228881836,9.84000015258789,10.789999961853027
2024-12-25 03:00:00+00:00,17.814285714285717,24.038689931233723,26.805376688639324,28.24599472681681,3,360,9.84000015258789,10.789999961853027,10.930000305175781
2024-12-25 04:00:00+00:00,19.58571428571429,26.805376688639324,28.24599472681681,27.8494389851888,4,360,10.789999961853027,10.930000305175781,10.58173942565918
2024-12-25 05:00:00+00:00,26.22857142857143,28.24599472681681,27.8494389851888,27.55839872360229,5,360,10.930000305175781,10.58173942565918,9.965465545654297
2024-12-25 06:00:00+00:00,22.357142857142858,27.8494389851888,27.55839872360229,27.11877727508545,6,360,10.960597038269043,9.650238990783691,10.030119895935059
2024-12-25 07:00:00+00:00,13.242857142857144,27.55839872360229,27.11877727508545,26.876304626464844,7,360,9.650238990783691,10.030119895935059,10.760119438171387
2024-12-25 08:00:00+00:00,14.842857142857142,27.11877727508545,26.876304626464844,27.01867397626241,8,360,10.030119895935059,10.760119438171387,11.279999732971191
2024-12-25 09:00:00+00:00,16.342857142857145,26.876304626464844,27.01867397626241,27.599539279937744,9,360,10.760119438171387,11.279999732971191,12.111166000366211
2024-12-25 10:00:00+00:00,18.71428571428572,27.01867397626241,27.599539279937744,28.00146722793579,10,360,11.279999732971191,12.111166000366211,13.329999923706055
2024-12-25 11:00:00+00:00,17.22857142857143,27.599539279937744,28.00146722793579,28.791686693827312,11,360,12.111166000366211,13.329999923706055,14.239999771118164
2024-12-25 12:00:00+00:00,17.9,20.11234025160472,21.84651056925456,23.6117533047994,12,360,13.401165962219238,14.289999961853027,14.479999542236328
2024-12-25 13:00:00+00:00,14.414285714285713,21.84651056925456,23.6117533047994,23.294010281562805,13,360,14.289999961853027,14.479999542236328,16.25
2024-12-25 14:00:00+00:00,10.571428571428571,23.6117533047994,23.294010281562805,17.35209647814433,14,360,14.479999542236328,16.25,16.719999313354492
2024-12-25 15:00:00+00:00,10.257142857142856,23.294010281562805,17.35209647814433,11.552972873051962,15,360,16.25,16.719999313354492,14.329999923706055
2024-12-25 16:00:00+00:00,10.828571428571433,17.35209647814433,11.552972873051962,9.715095400810242,16,360,16.719999313354492,14.329999923706055,12.84000015258789
2024-12-25 17:00:00+00:00,9.457142857142856,11.552972873051962,9.715095400810242,9.250691692034405,17,360,14.329999923706055,12.84000015258789,13.220000267028809
2024-12-25 18:00:00+00:00,7.628571428571428,9.715095400810242,9.250691692034405,8.806950290997824,18,360,12.84000015258789,13.220000267028809,14.319999694824219
2024-12-25 19:00:00+00:00,6.971428571428572,9.250691692034405,8.806950290997824,8.117402573426565,19,360,13.220000267028809,14.319999694824219,15.229999542236328
2024-12-25 20:00:00+00:00,5.871428571428573,8.806950290997824,8.117402573426565,8.090876996517181,20,360,14.319999694824219,15.229999542236328,16.25
2024-12-25 21:00:00+00:00,5.857142857142857,8.117402573426565,8.090876996517181,10.91464606920878,21,360,15.229999542236328,16.25,16.940000534057617
2024-12-25 22:00:00+00:00,6.171428571428572,8.090876996517181,10.91464606920878,14.27013580004374,22,360,16.25,16.940000534057617,15.479999542236328
2024-12-25 23:00:00+00:00,6.485714285714287,10.91464606920878,14.27013580004374,17.477879861990612,23,360,16.940000534057617,15.479999542236328,11.789999961853027
2024-12-26 00:00:00+00:00,6.728571428571428,14.27013580004374,17.477879861990612,22.191360414028168,0,361,15.479999542236328,11.789999961853027,11.841005325317383
2024-12-26 01:00:00+00:00,7.542857142857143,17.477879861990612,22.191360414028168,28.35662591457367,1,361,11.789999961853027,11.841005325317383,13.860502243041992
2024-12-26 02:00:00+00:00,8.057142857142857,22.191360414028168,28.35662591457367,35.148256063461304,2,361,11.841005325317383,13.860502243041992,15.49050235748291
2024-12-26 03:00:00+00:00,9.714285714285712,28.35662591457367,35.148256063461304,41.930277506510414,3,361,13.860502243041992,15.49050235748291,16.260000228881836
2024-12-26 04:00:00+00:00,21.085714285714285,35.148256063461304,41.930277506510414,47.61929273605347,4,361,15.49050235748291,16.260000228881836,16.590776443481445
2024-12-26 05:00:00+00:00,14.485714285714284,41.930277506510414,47.61929273605347,50.96450432141622,5,361,16.260000228881836,16.590776443481445,17.049999237060547
2024-12-26 06:00:00+00:00,15.185714285714283,47.61929273605347,50.96450432141622,52.01824442545573,6,361,14.880000114440918,15.359999656677246,15.720000267028809
2024-12-26 07:00:00+00:00,16.5,50.96450432141622,52.01824442545573,52.13179238637289,7,361,15.359999656677246,15.720000267028809,15.470000267028809
2024-12-26 08:00:00+00:00,17.171428571428574,52.01824442545573,52.13179238637289,51.24225362141927,8,361,15.720000267028809,15.470000267028809,16.469999313354492
2024-12-26 09:00:00+00:00,17.157142857142855,52.13179238637289,51.24225362141927,49.892155170440674,9,361,15.470000267028809,16.469999313354492,17.899999618530273
2024-12-26 10:00:00+00:00,16.314285714285717,51.24225362141927,49.892155170440674,48.60567378997803,10,361,16.469999313354492,17.899999618530273,22.0
2024-12-26 11:00:00+00:00,12.342857142857142,49.892155170440674,48.60567378997803,48.66345230738322,11,361,17.899999618530273,22.0,26.360000610351562
2024-12-26 12:00:00+00:00,16.514285714285716,50.62105862299601,49.52845795949301,49.74651018778483,12,361,21.1200008392334,24.209999084472656,29.579999923706055
2024-12-26 13:00:00+00:00,14.042857142857144,49.52845795949301,49.74651018778483,51.46150970458984,13,361,24.209999084472656,29.579999923706055,35.43000030517578
2024-12-26 14:00:00+00:00,11.342857142857143,49.74651018778483,51.46150970458984,38.99518505732218,14,361,29.579999923706055,35.43000030517578,45.13999938964844
2024-12-26 15:00:00+00:00,13.185714285714283,51.46150970458984,38.99518505732218,30.163836399714157,15,361,35.43000030517578,45.13999938964844,47.34000015258789
2024-12-26 16:00:00+00:00,14.857142857142856,38.99518505732218,30.163836399714157,22.939854820569355,16,361,45.13999938964844,47.34000015258789,37.0
2024-12-26 17:00:00+00:00,15.728571428571428,30.163836399714157,22.939854820569355,15.567484219868978,17,361,47.34000015258789,37.0,29.75
2024-12-26 18:00:00+00:00,10.3,22.939854820569355,15.567484219868978,9.994007388750711,18,361,37.0,29.75,24.610000610351562
2024-12-26 19:00:00+00:00,9.2,15.567484219868978,9.994007388750711,6.949792106946309,19,361,29.75,24.610000610351562,21.200000762939453
2024-12-26 20:00:00+00:00,8.657142857142857,9.994007388750711,6.949792106946309,5.876738548278809,20,361,24.610000610351562,21.200000762939453,18.6299991607666
2024-12-26 21:00:00+00:00,7.6571428571428575,6.949792106946309,5.876738548278809,7.352352460225423,21,361,21.200000762939453,18.6299991607666,14.3100004196167
2024-12-26 22:00:00+00:00,7.042857142857143,5.876738548278809,7.352352460225423,10.711094518502554,22,361,18.6299991607666,14.3100004196167,16.209999084472656
2024-12-26 23:00:00+00:00,7.6,7.352352460225423,10.711094518502554,14.86999523639679,23,361,14.3100004196167,16.209999084472656,20.220624923706055
2024-12-27 00:00:00+00:00,9.114285714285716,10.711094518502554,14.86999523639679,20.840601881345112,0,362,16.209999084472656,20.220624923706055,21.93000030517578
2024-12-27 01:00:00+00:00,9.157142857142858,14.86999523639679,20.840601881345112,28.70669190088908,1,362,20.220624923706055,21.93000030517578,22.59000015258789
2024-12-27 02:00:00+00:00,14.571428571428571,20.840601881345112,28.70669190088908,36.78909762700399,2,362,21.93000030517578,22.59000015258789,23.059999465942383
