timestamp_utc,airnow_pm25_obs_ug_m3,geoscf_pm25_fcst_tplus1_ug_m3,geoscf_pm25_fcst_tplus2_ug_m3,geoscf_pm25_fcst_tplus3_ug_m3,hour_utc,day_of_year
2023-01-01 00:00:00+00:00,2.7285714285714286,5.298302849133809,5.010355949401856,4.738335609436035,0,1
2023-01-01 01:00:00+00:00,2.585714285714286,5.010355949401856,4.738335609436035,4.7532243728637695,1,1
2023-01-01 02:00:00+00:00,2.914285714285714,4.738335609436035,4.7532243728637695,6.017163594563802,2,1
2023-01-01 03:00:00+00:00,2.7750000000000004,4.7532243728637695,6.017163594563802,7.36015256245931,3,1
2023-01-01 04:00:00+00:00,2.75,6.017163594563802,7.36015256245931,7.819830894470215,4,1
2023-01-01 05:00:00+00:00,2.2285714285714286,7.36015256245931,7.819830894470215,7.141205430030823,5,1
2023-01-01 06:00:00+00:00,1.942857142857143,7.819830894470215,7.141205430030823,6.739806632200877,6,1
2023-01-01 07:00:00+00:00,2.6499999999999995,7.141205430030823,6.739806632200877,7.414768576622009,7,1
2023-01-01 08:00:00+00:00,5.071428571428571,6.739806632200877,7.414768576622009,8.734861075878143,8,1
2023-01-01 09:00:00+00:00,3.6625,7.414768576622009,8.734861075878143,10.140848338603972,9,1
2023-01-01 10:00:00+00:00,2.3,8.734861075878143,10.140848338603972,11.374815622965494,10,1
2023-01-01 11:00:00+00:00,1.4125,10.140848338603972,11.374815622965494,12.711933235327402,11,1
2023-01-01 12:00:00+00:00,1.925,5.328892370065053,5.878111839294434,6.915659268697103,12,1
2023-01-01 13:00:00+00:00,1.65,5.878111839294434,6.915659268697103,6.032516479492188,13,1
2023-01-01 14:00:00+00:00,2.242857142857143,6.915659268697103,6.032516479492188,4.534951150417328,14,1
2023-01-01 15:00:00+00:00,1.9625,6.032516479492188,4.534951150417328,3.736138184865316,15,1
2023-01-01 16:00:00+00:00,4.671428571428571,4.534951150417328,3.736138184865316,3.282965977986654,16,1
2023-01-01 17:00:00+00:00,4.925,3.736138184865316,3.282965977986654,2.99122620622317,17,1
2023-01-01 18:00:00+00:00,4.95,3.282965977986654,2.99122620622317,2.8356707096099854,18,1
2023-01-01 19:00:00+00:00,5.275,2.99122620622317,2.8356707096099854,2.879100888967514,19,1
2023-01-01 20:00:00+00:00,5.75,2.8356707096099854,2.879100888967514,3.226709634065628,20,1
2023-01-01 21:00:00+00:00,5.8875,2.879100888967514,3.226709634065628,4.674460192521413,21,1
2023-01-01 22:00:00+00:00,6.625,3.226709634065628,4.674460192521413,6.643717169761658,22,1
2023-01-01 23:00:00+00:00,5.75,4.674460192521413,6.643717169761658,8.841160456339518,23,1
2023-01-02 00:00:00+00:00,4.8375,6.643717169761658,8.841160456339518,11.546879510084787,0,2
2023-01-02 01:00:00+00:00,5.3125,8.841160456339518,11.546879510084787,14.795089602470398,1,2
2023-01-02 02:00:00+00:00,6.7625,11.546879510084787,14.795089602470398,17.54204813639323,2,2
2023-01-02 03:00:00+00:00,8.0,14.795089602470398,17.54204813639323,21.05384345849355,3,2
2023-01-02 04:00:00+00:00,8.0875,17.54204813639323,21.05384345849355,24.766015370686848,4,2
2023-01-02 05:00:00+00:00,9.6875,21.05384345849355,24.766015370686848,27.748631596565247,5,2
2023-01-02 06:00:00+00:00,7.225,24.766015370686848,27.748631596565247,29.71653111775716,6,2
2023-01-02 07:00:00+00:00,5.725,27.748631596565247,29.71653111775716,30.83334747950236,7,2
2023-01-02 08:00:00+00:00,5.2875,29.71653111775716,30.83334747950236,31.62706708908081,8,2
2023-01-02 09:00:00+00:00,5.637499999999999,30.83334747950236,31.62706708908081,31.89006892840068,9,2
2023-01-02 10:00:00+00:00,5.325,31.62706708908081,31.89006892840068,32.101938565572105,10,2
2023-01-02 11:00:00+00:00,5.025,31.89006892840068,32.101938565572105,32.41497961680094,11,2
2023-01-02 12:00:00+00:00,6.437500000000001,35.009620666503906,34.98456088701884,36.23092142740885,12,2
2023-01-02 13:00:00+00:00,6.9125,34.98456088701884,36.23092142740885,37.59696944554647,13,2
2023-01-02 14:00:00+00:00,7.824999999999999,36.23092142740885,37.59696944554647,28.251463890075684,14,2
2023-01-02 15:00:00+00:00,6.9625,37.59696944554647,28.251463890075684,23.336770057678223,15,2
2023-01-02 16:00:00+00:00,8.4625,28.251463890075684,23.336770057678223,22.944454193115234,16,2
2023-01-02 17:00:00+00:00,10.7375,23.336770057678223,22.944454193115234,23.13566891352336,17,2
2023-01-02 18:00:00+00:00,9.1625,22.944454193115234,23.13566891352336,23.889732559521992,18,2
2023-01-02 19:00:00+00:00,9.1125,23.13566891352336,23.889732559521992,23.835678060849503,19,2
2023-01-02 20:00:00+00:00,7.7875,23.889732559521992,23.835678060849503,23.339791635672253,20,2
2023-01-02 21:00:00+00:00,7.975,23.835678060849503,23.339791635672253,24.309595187505085,21,2
