issue_time_utc,valid_time_utc,forecast_hour,cams_pm25_ug_m3,nearest_grid_lat,nearest_grid_lon,source_file
2024-01-01 12:00:00+00:00,2024-01-02 02:00:00+00:00,14,27.1496247705727,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-02 00:00:00+00:00,2024-01-02 02:00:00+00:00,2,19.670062911814057,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-01 12:00:00+00:00,2024-01-02 03:00:00+00:00,15,27.520410839088072,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-02 00:00:00+00:00,2024-01-02 03:00:00+00:00,3,22.328970672447213,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-02 00:00:00+00:00,2024-01-02 04:00:00+00:00,4,21.15911001965287,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-02 00:00:00+00:00,2024-01-02 05:00:00+00:00,5,20.652899834772143,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-02 00:00:00+00:00,2024-01-02 06:00:00+00:00,6,20.77330663041721,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-02 00:00:00+00:00,2024-01-02 07:00:00+00:00,7,19.241106485878845,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-02 00:00:00+00:00,2024-01-02 08:00:00+00:00,8,16.19763168037025,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-02 00:00:00+00:00,2024-01-02 09:00:00+00:00,9,12.721397268933288,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-02 00:00:00+00:00,2024-01-02 10:00:00+00:00,10,9.609486539829959,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-02 00:00:00+00:00,2024-01-02 11:00:00+00:00,11,6.8567795885599025,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-02 00:00:00+00:00,2024-01-02 12:00:00+00:00,12,4.667295883109546,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-02 00:00:00+00:00,2024-01-02 13:00:00+00:00,13,3.4565554862808767,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-02 12:00:00+00:00,2024-01-02 13:00:00+00:00,1,3.5471030557232552,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-02 00:00:00+00:00,2024-01-02 14:00:00+00:00,14,3.4400060577866043,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-02 12:00:00+00:00,2024-01-02 14:00:00+00:00,2,3.5036193946069716,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-02 00:00:00+00:00,2024-01-02 15:00:00+00:00,15,7.235087196022505,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-02 12:00:00+00:00,2024-01-02 15:00:00+00:00,3,6.522446138745863,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-02 12:00:00+00:00,2024-01-02 16:00:00+00:00,4,11.776336350521888,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-02 12:00:00+00:00,2024-01-02 17:00:00+00:00,5,12.618661671126574,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-02 12:00:00+00:00,2024-01-02 18:00:00+00:00,6,8.440931509312577,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-02 12:00:00+00:00,2024-01-02 19:00:00+00:00,7,10.346928647209097,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-02 12:00:00+00:00,2024-01-02 20:00:00+00:00,8,11.875693317620062,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-02 12:00:00+00:00,2024-01-02 21:00:00+00:00,9,13.618818073268812,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-02 12:00:00+00:00,2024-01-02 22:00:00+00:00,10,15.243054818370183,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-02 12:00:00+00:00,2024-01-02 23:00:00+00:00,11,16.581740425181124,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-02 12:00:00+00:00,2024-01-03 00:00:00+00:00,12,18.264451284721872,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-02 12:00:00+00:00,2024-01-03 01:00:00+00:00,13,28.640480209674024,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-03 00:00:00+00:00,2024-01-03 01:00:00+00:00,1,22.1859473015229,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-02 12:00:00+00:00,2024-01-03 02:00:00+00:00,14,34.93250844144313,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-03 00:00:00+00:00,2024-01-03 02:00:00+00:00,2,29.716867189222285,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-02 12:00:00+00:00,2024-01-03 03:00:00+00:00,15,38.35696560372526,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-03 00:00:00+00:00,2024-01-03 03:00:00+00:00,3,33.966085055681106,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-03 00:00:00+00:00,2024-01-03 04:00:00+00:00,4,36.38671941530447,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-03 00:00:00+00:00,2024-01-03 05:00:00+00:00,5,37.773997263457204,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-03 00:00:00+00:00,2024-01-03 06:00:00+00:00,6,37.3113628882038,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-03 00:00:00+00:00,2024-01-03 07:00:00+00:00,7,34.51637198281787,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-03 00:00:00+00:00,2024-01-03 08:00:00+00:00,8,31.769296526817925,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-03 00:00:00+00:00,2024-01-03 09:00:00+00:00,9,28.22468303520509,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-03 00:00:00+00:00,2024-01-03 10:00:00+00:00,10,24.336026527294052,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-03 00:00:00+00:00,2024-01-03 11:00:00+00:00,11,20.00776611055244,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-03 00:00:00+00:00,2024-01-03 12:00:00+00:00,12,16.23470957667905,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-03 00:00:00+00:00,2024-01-03 13:00:00+00:00,13,12.460486864540599,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-03 12:00:00+00:00,2024-01-03 13:00:00+00:00,1,12.6633104002849,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-03 00:00:00+00:00,2024-01-03 14:00:00+00:00,14,10.448772513882432,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-03 12:00:00+00:00,2024-01-03 14:00:00+00:00,2,9.54082590709504,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-03 00:00:00+00:00,2024-01-03 15:00:00+00:00,15,8.60420623638447,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-03 12:00:00+00:00,2024-01-03 15:00:00+00:00,3,8.100139226030478,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-03 12:00:00+00:00,2024-01-03 16:00:00+00:00,4,11.679309963597007,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-03 12:00:00+00:00,2024-01-03 17:00:00+00:00,5,9.052556038113835,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-03 12:00:00+00:00,2024-01-03 18:00:00+00:00,6,8.7318925423574,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-03 12:00:00+00:00,2024-01-03 19:00:00+00:00,7,7.018019942961473,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-03 12:00:00+00:00,2024-01-03 20:00:00+00:00,8,5.653561174767674,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-03 12:00:00+00:00,2024-01-03 21:00:00+00:00,9,4.756297578012436,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
2024-01-03 12:00:00+00:00,2024-01-03 22:00:00+00:00,10,4.0643861609623855,34.0,-118.0,data\cache\cams_monthly_grib\cams_pm25_202401.grib
