model,display_name,n,rmse,mae,bias,r2
NAQFC_pred,NAQFC,8779,0.7411674109107633,0.5687770904543469,-0.2993346239117078,-0.5830178376565003
Linear_pred,Linear Model,8770,0.2367704517679555,0.17759660353176798,0.12498742424192925,0.8375014065440942
Sinusoidal_pred,Sinusoidal Model,8728,0.7160983919974651,0.5411510110557867,-0.3258913797815475,-0.4834753553669129
