model,obs_bin,mean_observed,mean_abs_error,mean_residual,count
Linear_pred,"(-0.251, 4.4]",3.06067055393586,0.7003427458276974,0.09912192764574944,882
Linear_pred,"(4.4, 6.3]",5.43214665365007,0.9051938853528672,0.3760384833406677,878
Linear_pred,"(6.3, 7.643]",7.003315898441756,1.037247915103975,0.6364783726271142,874
Linear_pred,"(7.643, 8.95]",8.31861378074605,1.2203109990185421,0.8138139844166978,877
Linear_pred,"(8.95, 10.233]",9.60177799447424,1.3660308112901396,0.9897329660700185,879
Linear_pred,"(10.233, 11.457]",10.816660158368588,1.5542345407428688,1.1740659398442947,878
Linear_pred,"(11.457, 12.929]",12.164095999130247,1.8035174274013668,1.5163156782659644,876
Linear_pred,"(12.929, 14.733]",13.788979010738691,2.099240748972884,1.7784717670600654,878
Linear_pred,"(14.733, 18.057]",16.249071510017917,2.604258302232733,2.3249088895353673,877
Linear_pred,"(18.057, 151.643]",25.32332736059076,3.927605868716365,3.558444601134143,877
NAQFC_pred,"(-0.251, 4.4]",3.06067055393586,3.8592856084454987,-2.4045448435306462,882
NAQFC_pred,"(4.4, 6.3]",5.43214665365007,5.058600917634005,-3.7111780041493723,878
NAQFC_pred,"(6.3, 7.643]",7.003315898441756,5.571176586267546,-4.430750689527802,874
NAQFC_pred,"(7.643, 8.95]",8.318673934266188,6.787973255156155,-5.709603714537599,878
NAQFC_pred,"(8.95, 10.233]",9.60177799447424,7.400071334714614,-6.424763741057693,879
NAQFC_pred,"(10.233, 11.457]",10.816660158368588,7.828901105363349,-6.672595029761986,878
NAQFC_pred,"(11.457, 12.929]",12.164095999130247,9.201167167736465,-7.921045494447146,876
NAQFC_pred,"(12.929, 14.733]",13.788979010738691,9.33300404143755,-7.973114895511829,878
NAQFC_pred,"(14.733, 18.057]",16.248136999674585,11.534509100911933,-9.89917807752055,878
NAQFC_pred,"(18.057, 151.643]",25.414481157542383,17.415337692482556,-9.94992114796982,882
Sinusoidal_pred,"(-0.251, 4.4]",3.06067055393586,5.146976831473032,-4.857450971546968,882
Sinusoidal_pred,"(4.4, 6.3]",5.43214665365007,5.555360793901209,-5.117172005796619,878
Sinusoidal_pred,"(6.3, 7.643]",7.003315898441756,6.552458542647955,-5.7409532087430994,874
Sinusoidal_pred,"(7.643, 8.95]",8.318673934266188,8.00954447970222,-6.7649638750509045,878
Sinusoidal_pred,"(8.95, 10.233]",9.60177799447424,8.353175600859638,-7.094730365154372,879
Sinusoidal_pred,"(10.233, 11.457]",10.816660158368588,7.688740163100251,-5.992403177033138,878
Sinusoidal_pred,"(11.457, 12.929]",12.164095999130247,8.30831965295005,-6.273709629636409,876
Sinusoidal_pred,"(12.929, 14.733]",13.788979010738691,8.491030259384017,-5.356513134345813,878
Sinusoidal_pred,"(14.733, 18.057]",16.248136999674585,8.739393282116332,-4.77273336893338,878
Sinusoidal_pred,"(18.057, 151.643]",25.35415887594992,12.83080344210704,0.17421063447927662,871
