model,display_name,n,rmse,mae,bias,r2
NAQFC_pred,NAQFC,8783,14.65464717739721,8.402032911666778,-6.509982500755634,-3.0445202105915694
Linear_pred,Linear Model,8776,2.7195977597529564,1.7212908487830905,1.326103147206235,0.8591655268457197
Sinusoidal_pred,Sinusoidal Model,8772,14.631733902542,7.9630248588362695,-5.183480249423733,-3.0655730140197415
