timestamp_utc,airnow_pm25_obs_ug_m3,geoscf_pm25_fcst_tplus1_ug_m3,geoscf_pm25_fcst_tplus2_ug_m3,geoscf_pm25_fcst_tplus3_ug_m3,hour_utc,day_of_year
2023-09-01 00:00:00+00:00,18.9,13.19304633140564,18.11489741007487,25.752756754557293,0,244
2023-09-01 01:00:00+00:00,18.32857142857143,18.11489741007487,25.752756754557293,33.37690099080404,1,244
2023-09-01 02:00:00+00:00,19.442857142857143,25.752756754557293,33.37690099080404,39.69160111745199,2,244
2023-09-01 03:00:00+00:00,17.3,33.37690099080404,39.69160111745199,44.82766024271647,3,244
2023-09-01 04:00:00+00:00,18.400000000000002,39.69160111745199,44.82766024271647,48.687802950541176,4,244
2023-09-01 05:00:00+00:00,17.857142857142858,44.82766024271647,48.687802950541176,51.36420186360677,5,244
2023-09-01 06:00:00+00:00,15.342857142857143,48.687802950541176,51.36420186360677,53.52023061116537,6,244
2023-09-01 07:00:00+00:00,17.585714285714285,51.36420186360677,53.52023061116537,55.66796906789144,7,244
2023-09-01 08:00:00+00:00,18.242857142857144,53.52023061116537,55.66796906789144,57.65659586588541,8,244
2023-09-01 09:00:00+00:00,15.685714285714285,55.66796906789144,57.65659586588541,59.458239237467446,9,244
2023-09-01 10:00:00+00:00,15.5,57.65659586588541,59.458239237467446,61.05716959635416,10,244
2023-09-01 11:00:00+00:00,13.87142857142857,59.458239237467446,61.05716959635416,50.1658730506897,11,244
2023-09-01 12:00:00+00:00,14.628571428571428,45.93748505910238,40.957842429478966,26.33516788482666,12,244
2023-09-01 13:00:00+00:00,14.471428571428572,40.957842429478966,26.33516788482666,23.759838183720905,13,244
2023-09-01 14:00:00+00:00,16.242857142857144,26.33516788482666,23.759838183720905,22.651803970336918,14,244
2023-09-01 15:00:00+00:00,16.514285714285712,23.759838183720905,22.651803970336918,21.914881388346355,15,244
2023-09-01 16:00:00+00:00,17.7,22.651803970336918,21.914881388346355,21.140884399414062,16,244
2023-09-01 17:00:00+00:00,19.414285714285715,21.914881388346355,21.140884399414062,20.36041259765625,17,244
2023-09-01 18:00:00+00:00,17.6,21.140884399414062,20.36041259765625,20.07740592956543,18,244
2023-09-01 19:00:00+00:00,17.242857142857144,20.36041259765625,20.07740592956543,19.812442779541016,19,244
2023-09-01 20:00:00+00:00,16.82857142857143,20.07740592956543,19.812442779541016,19.8591423034668,20,244
2023-09-01 21:00:00+00:00,18.114285714285714,19.812442779541016,19.8591423034668,20.94970933596293,21,244
2023-09-01 22:00:00+00:00,17.142857142857142,19.8591423034668,20.94970933596293,23.46895718574524,22,244
2023-09-01 23:00:00+00:00,17.32857142857143,20.94970933596293,23.46895718574524,27.758421579996742,23,244
2023-09-02 00:00:00+00:00,16.47142857142857,23.46895718574524,27.758421579996742,32.63116963704427,0,245
2023-09-02 01:00:00+00:00,15.57142857142857,27.758421579996742,32.63116963704427,37.03862380981445,1,245
2023-09-02 02:00:00+00:00,15.8,32.63116963704427,37.03862380981445,40.0387667020162,2,245
2023-09-02 03:00:00+00:00,17.085714285714285,37.03862380981445,40.0387667020162,41.80639394124349,3,245
2023-09-02 04:00:00+00:00,16.657142857142855,40.0387667020162,41.80639394124349,43.021141052246094,4,245
2023-09-02 05:00:00+00:00,16.8,41.80639394124349,43.021141052246094,43.45943355560303,5,245
2023-09-02 06:00:00+00:00,16.38571428571429,43.021141052246094,43.45943355560303,43.57979202270508,6,245
2023-09-02 07:00:00+00:00,15.957142857142857,43.45943355560303,43.57979202270508,43.66022109985352,7,245
2023-09-02 08:00:00+00:00,14.400000000000002,43.57979202270508,43.66022109985352,44.17445214589437,8,245
2023-09-02 09:00:00+00:00,12.542857142857143,43.66022109985352,44.17445214589437,45.20170338948568,9,245
2023-09-02 10:00:00+00:00,11.571428571428571,44.17445214589437,45.20170338948568,46.48198080062866,10,245
2023-09-02 11:00:00+00:00,9.171428571428573,45.20170338948568,46.48198080062866,41.188596884409584,11,245
2023-09-02 12:00:00+00:00,8.042857142857143,43.42064762115479,36.487682819366455,23.055461247762043,12,245
2023-09-02 13:00:00+00:00,6.328571428571428,36.487682819366455,23.055461247762043,17.67090670267741,13,245
2023-09-02 14:00:00+00:00,7.171428571428571,23.055461247762043,17.67090670267741,15.168715794881184,14,245
2023-09-02 15:00:00+00:00,8.028571428571428,17.67090670267741,15.168715794881184,14.062256813049316,15,245
2023-09-02 16:00:00+00:00,7.542857142857144,15.168715794881184,14.062256813049316,13.55212942759196,16,245
2023-09-02 17:00:00+00:00,8.585714285714285,14.062256813049316,13.55212942759196,13.269652048746744,17,245
2023-09-02 18:00:00+00:00,8.428571428571429,13.55212942759196,13.269652048746744,13.09416389465332,18,245
2023-09-02 19:00:00+00:00,6.3999999999999995,13.269652048746744,13.09416389465332,13.12986691792806,19,245
2023-09-02 20:00:00+00:00,4.171428571428572,13.09416389465332,13.12986691792806,13.57132657368978,20,245
