model,n,rmse,mae,bias,r2,y_true_mean,y_pred_mean,resid_sd
Linear_pred,8776,2.7195977597529564,1.7212908487830905,1.326103147206235,0.8591655268457197,11.171799740634631,9.845696593428396,2.374376216572053
Sinusoidal_pred,8772,14.631733902542,7.9630248588362695,-5.183480249423733,-3.0655730140197415,11.165347561505223,16.348827810928952,13.68280561502761
NAQFC_pred,8783,14.65464717739721,8.402032911666778,-6.509982500755634,-3.0445202105915694,11.189175544748243,17.699158045503875,13.129311167530894
CAMS_pred,8783,14.71613560008188,10.963236509680662,-9.67267334717727,-3.0785316607893654,11.189175544748243,20.861848891925515,11.090718521304368
GEOSCF_pred,8783,46.10084467464812,27.963274728703475,-27.007880555122615,-39.02524893046761,11.189175544748243,38.197056099870856,37.36124017797405
